Instructor,Course,Term,Enrolled/Resp Rate,Avg Grade Received,Avg Hours Worked,Student Learning,Course Structure,Class Environment
Sociology,SOCI 105 - Ethnographic Film: Media Meth,"Jules-Rosette, Bennetta W.",SOCI 105 - Ethnographic Film: Media Meth (A00),FA23,5(80.00%),"3.93                                             
                                    (A-)",10.00,4.56,4.56,4.50
Sociology,SOCI 106 - Comparative&Historical Methods,"Payne, Christine Anna",SOCI 106 - Comparative&Historical Methods (A00),SP24,28(28.57%),"3.40                                             
                                    (B+)",6.00,4.69,4.68,4.72
Sociology,SOCI 106 - Comparative&Historical Methods,"Ahn, Hyangseon Irene",SOCI 106 - Comparative&Historical Methods (A00),WI24,25(28.00%),"3.12                                             
                                    (B)",5.00,3.32,3.25,4.07
Sociology,SOCI 109 - Analysis of Sociological Data,"Mackenna, Bernardo",SOCI 109 - Analysis of Sociological Data (A00),S123,17(23.53%),"2.87                                             
                                    (B-)",7.50,3.19,3.50,4.50
Sociology,SOCI 110 - Qualitative Res/Educ Settings,"Holkenbrink-Monk, Charlene",SOCI 110 - Qualitative Res/Educ Settings (A00),FA23,22(36.36%),"3.18                                             
                                    (B)",6.88,4.88,4.81,4.91
Sociology,"SOCI 111 - Local Lives, Global Problems","Ribas Norris, Janet Vanesa","SOCI 111 - Local Lives, Global Problems (A00)",SP24,27(29.63%),"3.53                                             
                                    (B+)",4.75,4.53,4.59,4.84
Sociology,"SOCI 111 - Local Lives, Global Problems","Bin Khidzer, Mohammad Khamsya","SOCI 111 - Local Lives, Global Problems (A00)",S223,10(40.00%),"3.19                                             
                                    (B)",7.50,4.44,4.19,4.69
Sociology,SOCI 112 - Social Psychology,"Pitt, Richard Norris",SOCI 112 - Social Psychology (A00),FA23,51(72.55%),"2.78                                             
                                    (B-)",6.89,4.69,4.52,4.61
Sociology,SOCI 113 - Sociology of the AIDS Epidemic,"Rogers, Julia Ellen",SOCI 113 - Sociology of the AIDS Epidemic (A00),WI24,72(22.22%),"3.47                                             
                                    (B+)",4.00,3.66,3.19,3.94
Sociology,SOCI 114 - Sociology of Humor,"Lampland, Martha",SOCI 114 - Sociology of Humor (A00),SP24,70(20.00%),"3.25                                             
                                    (B)",4.23,3.87,3.83,4.10
Sociology,SOCI 115 - Social Problems,"Arnal, Maud Marie Leonie",SOCI 115 - Social Problems (A00),WI24,59(32.20%),"3.61                                             
                                    (B+)",4.95,4.70,4.67,4.78
